authors,title,journal,link,,,
"P Yan, J Gregson, Q Tang, R Ward, Z Xu, S Du",NEO-3DF: Novel Editing-Oriented 3D Face Creation and Reconstruction,"Proceedings of the Asian Conference on Computer Vision, 486-502, 2022",,,,
"M Gholami, B Wandt, H Rhodin, R Ward, ZJ Wang",AdaptPose: Cross-Dataset Adaptation for 3D Human Pose Estimation by Learnable Motion Generation,"Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2022",,,,
"A Malik Nasser Aljalai, Chen Feng, Victor CM Leung, Rabab K Ward",Compute-and-Forward for Uplink Massive MIMO-NOMA,"30th Biennial Symposium on Communications 2021, pages 47-60, June 2022",,,,
"Yongwei Wang, Lanjun Wang, Mingquan Feng, Rabab Ward, Z Jane Wang",Reaching a Better Trade-Off Between Image Quality and Attack Success Rates in Transfer-Based Adversarial Attacks,"2022 IEEE Data Science and Learning Workshop (DSLW), May 2022",,,,
D. Karimi and R. Ward,Interpolation of CT Projections by Exploiting Their Self-Similarity and Smoothness,"IEEE ICIP 2021, Sep 2021.",,,,
"M. Abdelfattah, K. Yuan, Z. Jane Wang, R. Ward",Towards Universal Physical Attacks On Cascaded Camera-Lidar 3D Object Detection Models,"IEEE ICIP 2021, 2021.",,,,
"Mazen Abdelfattah, Kaiwen Yuan, Z Jane Wang, Rabab Ward",Adversarial attacks on camera-lidar models for 3d car detection,"2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), Sep 2021",,,,
"R. Hussein, S Lee, R Ward, MJ McKeown",Epileptic seizure prediction: A semi-dilated convolutional neural network architecture,"25th International Conference on Pattern Recognition (IICPR), pp .5436-5543, 2020",,,,
"AMN. Aljalai, C. Feng, VCM. Leung, R. Ward",Improving the Energy Efficiency of DFT-s-OFDM in Uplink Massive MIMO with Barker Codes,"2020 IEEE International Conference on Computing, Networking and Communications (ICNC), Hawaii, Feb 2020.",,,,
"R. Hussein, R. Ward",Epileptic Seizure Prediction: A Multi-Scale Convolutional Neural Network Approach,"2019 IEEE Global Conference on Signal and Information Processing (GlobalSIP), pp. 1-5, November 2019.",,,,
"R. Hussein, H. Palangi, Z. Jane Wang, and R. Ward",Robust Detection of Epileptic Seizures using Deep Neural Networks,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), pp. 2546 - 2550, 2018.",,,,
"Jianzhe Lin, Rabab Ward, Z. Jane Wang",Deep transfer learning for Hyperspectral Image classification,"Proc. of MMSP 2018, 2018.",,,,
"A. N. Aljalai, S. Shukla, C. Feng, V. Leung, and R. Ward",On the Performance of Using DFT-s-OFDM in Uplink Massive MIMO for Improving Energy Efficiency,"submitted to IEEE GlobeCom 2019, May 2018.",,,,
"R. Hussein, H. Palangi, Z. Jane Wang, and R. Ward",Robust Detection of Epileptic Seizures using Deep Neural Networks,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Accepted, 2018.",,,,
"R. Hussein, M. Elgendi and R. Ward",High Performance EEG Feature Extraction for Fast Epileptic Seizure Detections,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP),  2017.",,,,
"J. Maggu, R. Hussein, A. Majumdar and R. Ward",Impulse Denoising via Transform Learning,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP), 2017.",,,,
"P. Singh, R. Hussein, A. Majumdar and R. Ward",Joint-sparse Dictionary Learning: Denoising Multiple Measurement Vectors,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP),  2017.",,,,
"M. Rouf, and R. Ward",High dynamic range imaging with a single exposure-multiplexed image using smooth contour prior,"Proc. IS&T Electronic Imaging (Image Processing: Algorithms and Systems), 2017.",,,,
D. Karimi and R. K. Ward,Image reconstruction in computed tomography using variance-reduced stochastic gradient descent,"IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017), Melbourne, VIC, pp. 543-547, 2017.",,,,
"M. Rouf, and R. Ward",Dynamic range expansion of single images using intensity-invariant  patch correspondences,"Proc. IEEE Global Conference on Signal and Information Processing (GlobalSIP), 2017.",,,,
"A. M. Nasser, C. Feng, V. Leung, and R. K. Ward",Eliminating Pilot Contamination Using Dual Pilot Sequences in Massive MIMO ,"IEEE 86th Vehicular Technology Conference: IEEE VTC2017-Fall, Toronto, Accepted, September 2017.",,,,
A. Majumdar and R. Ward,Robust Greedy Deep Dictionary Learning for ECG Arrhythmia Classification,"the International Joint Conference on Neural Networks (IJCNN 2017), pp. 4400-4407, 2017.",,,,
"R. Hussein, R. K. Ward, Z. J. Wang",L1-Regularization Based EEG Feature Learning for Detecting Epileptic Seizure,"IEEE Global Conference on Signal and Information Processing (GlobalSIP), Washington, DC, pp. 1171-1175. 2016.",,,,
"H. Palangi, R. Ward, and L. Deng",Reconstruction of Sparse Vectors in Compressive Sensing with Multiple Measurement Vectors using Bidirectional Long Short-Term Memory,"IEEE Global Conference on Signal and Information Processing (GlobalSIP), Washington, DC, pp. 192-196, 2016.",,,,
"R. Hussein, R. K. Ward, Z. J. Wang, A. Mohamed",Energy Efficient EEG Monitoring System for Wireless Epileptic Seizure Detection,"IEEE International Conference on Machine Learning and Applications (ICMLA), Anaheim, CA, pp. 294-299.  2016.",,,,
"Hossein Bashashati, R. K. Ward, Ali Bashashati",Neural Network Conditional Random Fields for Self-Paced Brain Computer Interfaces,"IEEE International Conference on Machine Learning and Applications (ICMLA), Anaheim, CA, pp. 939-943, 2016.",,,,
A. Majumdar and R. Ward,Robust dictionary learning: Application to signal disaggregation,"2016 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Shanghai, pp. 2469-2473, 2016.",,,,
"Khurana, P., A. Majumdar, and R. Ward",Class-wise Deep Dictionaries for EEG Classification,"Inter Joint Conf. on Neural Networks, Vancouver,  BC, pp. 3556-3563, 2016.",,,,
"A. Majumdar, and R. Ward",Real-time Reconstruction of EEG Signals from Compressive Measurements via Deep Learning,"Inter Joint Conf. on Neural Networks, Vancouver, BC, pp. 2856-2863, 2016.",,,,
"Majumdar, A., R. K. Ward and M. Gupta",Non Intrusive Load Monitoring: A Robust Sparse Representation Approach,submitted to SPCOM 2016.,,,,
"Mahrous, H., and R. K. Ward",A Low Power Dirac Basis Compressed Sensing Framework for EEG using a Meyer Wavelet Function Dictionary,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE),  Vancouver, BC, , pp. 1-6, 2016.",,,,
"Shahid, H., and R. K. Ward",Codebook Design for Vector Quantization using Hexagonal Partitioning,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), Vancouver, BC, , pp. 1-6, 2016.",,,,
"Bashashati, H., R. K. Ward, and A. Bashashati",Bayesian Optimization of BCI Parameters,"2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), Vancouver, BC, , pp. 1-5, 2016.",,,,
"Rouf, M., D. Reddy, K. Pulli and R. Ward",Fast edge-directed single-image super-resolution,"IS&T International Symposium on Electronic Imaging. Pp. 1-8, 2016.",,,,
"Sheikhzadeh, F.,  Carraro, A., Korbelic, J.,  MacAulay, C., Guillaud, M., and Ward, R. K.","Automatic labeling of molecular biomarkers on a cell-by-cell basis in immunohistochemistry images using convolutional neural networks” SPIE- Medical Imaging Symposium, San Diego, US. Vol. 9791, 2016.",,,,,
"Karimi, D., and R. Ward",Sinogram smoothing and interpolation via alternating projections onto the slope and curvature constraints,"SPIE Medical Imaging Symposium, San Diego CA, vol. 9784, 2016.",,,,
"Karimi, D., and R. Ward","A novel structured dictionary for fast processing of 3D medical images, with application to computed tomography restoration and denoising","SPIE Medical Imaging Symposium, San Diego CA, vol. 9784, 2016.",,,,
"Palangi, H., R. Ward, and L. Deng",Exploiting Correlations Among Channels in Distributed Compressive Sensing with Convolutional Deep Stacking Networks,"in IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), Shanghai, pp. 2692-2696, 2016",,,,
"Bashashati, H., R. K.Ward and A. Bashashati",Hidden Markov Support Vector Machines for Self-Paced Brain Computer Interfaces,"International Conference on Machine Learning Applications (IEEE ICMLA), Miami, FL, pp. 382-385, 2015.",,,,
"Valizadeh, S., P. Nasiopoulos, and R. Ward",Optimal Lagrange Multiplier in Perceptually-Friendly High Efficiency Video Coding for Mobile Applications,"The International Conference on Computing, Networking and Communications (ICNC16), CNC Workshop, Hawaii, USA, Feb. 2016.",,,,
"Valizadeh, S., P. Nasiopoulos, and R. Ward",Perceptual Distortion Measurement in the Coding Unit Mode Selection for 3D-HEVC,"IEEE International Conference on Consumer Electronics ICCE 2016, Las Vegas, NV, USA, January 8-11, 2016.",,,,
"Rouf, M., and R. Ward",Retrieving information lost by image denoising,"IEEE Global Conference on Signal and Information Processing (GlobalSIP), Florida, USA, December 2015 (Accepted)",,,,
"Valizadeh, S., P. Nasiopoulos, and R. Ward",Perceptually-Friendly Rate Distortion Optimization in High Efficiency Video Coding,"EUSIPCO 2015, Nice, France, August 31- September 4 2015, (ACCEPTED for publication).",,,,
"Majumdar, A. and Ward, R.",Learning Space-Time Dictionaries for Blind Compressed Sensing Dynamic MRI Reconstruction,"2015 IEEE International Conference on Image Processing, Quebec City, QB, September 2015.",,,,
"Karimi, D. and Ward, R.",Angular upsampling of projection measurements in 3D computed tomography using a sparsity prior,"2015 IEEE International Conference on Image Processing, Quebec City, QB, September 2015.",,,,
"Hashemian, M., H. Moradi, M. S. Mirian, M. Tehrani-Doost, and R. K. Ward.",Title Is the Mood really in the Eye of the Beholder?,"17th International Conference on Human-Computer Interaction, Los Angeles, California , August 2015.",,,,
"Karimi, D. and Ward, R.",A fast weighted stochastic gradient descent algorithm  for image reconstruction in 3D computed tomography,"IUPESM 2015 World Congress on Medical Physics & Biomedical Engineering, Toronto, ON, June 7 – 12, 2015.",,,,
"Sheikhzadeh, F., MacAulay, C., Guillaud, M., Lane, P., Carraro, A., Ward, R., and McKenna, J.",Fluorescence confocal microscopy for detection of cervical preneoplastic lesions,"2015 SPIE Medical Imaging Symposium, 21 - 26 February 2015, Orlando, Florida United States.",,,,
"Majumdar, A., Shukla, A. and Ward, R.",Combining Sparsity with Rank-Deficiency for Energy Efficient EEG Sensing and Transmission over Wireless Body Area Network,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), Brisbane, Australia, April 2015 (in press).",,,,
"Majumdar, A., and Ward, R.",Learning the Sparsity Basis in Low-rank plus Sparse Model for Dynamic MRI Reconstruction,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), Brisbane, Australia, April 2015 (in press).",,,,
"Majumdar, A., and Ward, R.",Elastic Net Formulation for MRI Reconstruction,"Proceedings of International Society for Magnetic Resonance  in Medicine, Abstracts pp. 1551, 22( 2014).",,,,
"Majumdar, A., and Ward, R.",Improved Blind Compressed Sensing for Dynamic MRI Reconstruction,"Abstracts pp. 4381, 22( 2014).",,,,
"Ward, R. and Majumdar, A.",Exploiting Sparsity and Rank-deficiency in Dynamic CT Reconstruction,"IEEE Medcom 2014, 7th to 8th November, Greater Nodia, India.",,,,
"Majumdar, A., and Ward, A.",Fast SVD Free Low-rank Matrix Recovery: Application to Dynamic MRI Reconstruction,"IEEE Medcom 2014, pp. 24 – 29, 7th to 8th November, Greater Nodia, India.",,,,
"Palangi, H., Deng, L., and Ward, R. K.",Recurrent deep-stacking networks for sequence classification,"2nd IEEE China Summit & International Conference on Signal and Information Processing, pp. 510 – 514, Xi’an, China 9-13 July 2014.",,,,
"Majumdar, A., and Ward, R. K.",Improved MRI Reconstruction via Non-Convex Elastic Net,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 6924–6928. Florence, Italy, May 2014.",,,,
"Guha, T., and Ward, R. K.",Learning Sparse Models for Image Quality Assessment,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 151- 154, Florence, Italy, May 2014.",,,,
"Palangi, H., Deng, L., and Ward, R. K.",Learning Input and Recurrent Weight Matrices in Echo State Networks,"Deep Learning Workshop in Conference on Neural Information Processing Systems (NIPS), Lake Tahoe, Nevada, USA, December 2013.",,,,
"Chiang, J., and Ward, R. K.",Data Reduction for Wireless Seizure Detection Systems,"6th International IEEE EMBS Conference on Neural Engineering, pp. 48 – 52, Nov 2013.",,,,
"Majumdar, A., and Ward, R. K.",Dynamic CT Reconstruction by Smoothed Rank Minimization,"MICCAI, 16(Pt 3):131-8, Nagoya, Japan, Sep 2013.",,,,
"Majumdar, A., Ward, R. K., and Aboulnasr, T.",Generalized Non-linear Sparse Classifier,"European Signal Processing Conference (EUSIPCO), Sep 2013.",,,,
"Majumdar, A., Ward, R. K., and Aboulnasr, T.",FOCUSS Algorithm for Rank-aware Row Sparse MMV Recovery,"European Signal Processing Conference (EUSIPCO), Sep 2013.",,,,
"Agarwal, H. K., Majumdar, A., and Ward, R. K.",A Reconstruction Algorithm for Multi-Spectral Image Demosaicing,"IASTED Signal and Image Processing, Banff, Canada, Jul 2013.",,,,
"Harsha, G. N., Majumdar, A., and Ward, R. K.",Disparity Map Computation for Stereo Images Using Compressive Sampling,"IASTED Signal and Image Processing, Banff, Canada, Jul 2013.",,,,
"Shukla, A., Majumdar, A., and Ward, R. K.",Real-Time Dynamic MRI Reconstruction: Accelerating Compressed Sensing on Graphical Processor Unit,"IASTED Signal and Image Processing, Banff, Canada, Jul 2013.",,,,
"Fauvel, S., Agarwal, A., and Ward, R. K.",Compressed sensing and energy-aware independent component analysis for compression of EEG signals,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 973-977, Vancouver, BC, May 2013.",,,,
"Palangi, H., Ward, R. K., and Deng, L.",Using deep stacking network to improve structured compressed sensing with multiple measurement vectors,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 3337 – 3341, Vancouver, BC, May 2013.",,,,
"Majumdar, A., and Ward, R. K.",Exploiting Sparsity and Rank-deficiency in Dynamic MRI Reconstruction,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 998-1002, Vancouver, BC, May 2013.",,,,
"Guha, T., Ward, R. K., and Aboulnasr, T.",Image similarity measurement from sparse reconstruction errors,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 1937 -1941, Vancouver, BC, May 2013",,,,
"Majumdar, A., Ward, R. K.",Exploiting Rank Deficiency for MR Image Reconstruction from Multiple Partial K-space Scans,"Canadian Conference on Electrical and Computer Engineering (CCECE), 2013.",,,,
"Majumdar, A., Ward, R. K.",Non-linear Sparse and Group Sparse Classifier,"Canadian Conference on Electrical and Computer Engineering (CCECE), 2013.",,,,
"Vahedi, E., Ward, R. K. and Blake, I. F.",Analytical Modeling of RFID Generation-2 Protocol Using Absorbing Markov Chain Theorem,"IEEE Globecom 2012, pp. 385-390, Anaheim, CA, Dec 2012.",,,,
"Majumdar, A., Ward, R. K., and Aboulnasr, T.",A FOCUSS Based Method for Low Rank Matrix Recovery,"IEEE International Conference on Image Processing (ICIP), pp. 1713-1716. Florida, Sep 2012.",,,,
"Nezhadarya, E., Ward, R. K., and Wang, J. Z.",Wavelet-Based Gradient Transform and Its Applications,"IEEE Intenational Workshop on Multimedia Signal Processing (MMSP), pp. 107-111, Banff, Canada, Sep 2012.",,,,
"Malekesmaeili, M., and Ward, R. K.",A Novel Local Audio Fingerprinting Algorithm,"IEEE Intenational Workshop on Multimedia Signal Processing (MMSP), pp. 136-140, Banff, Canada, Sep 2012.",,,,
"Li, X., Wang, F., Chen, X., and Ward, R. K.",A P300-Based BCI Classification Algorithm Using Median Filtering and Bayesian Feature Extraction,"IEEE Intenational Workshop on Multimedia Signal Processing (MMSP), pp. 305-308, Banff, Canada, Sep 2012.",,,,
"Yong, X., Fatourechi, M., Ward, R., and Birch, G.",Adaptive classification in a self-paced hybrid brain-computer interface system,"IEEE EMBC, pp. 3274-3279, San Diego, CA, Aug 2012.",,,,
"Mai, Z., Doutre, C., Nasiopoulos, P. and Ward, R. K.",Evaluation of Preferred Brightness and Detail Levels in 3D and 2D Images Based on HDR Tone Mapping,"Seventh International Multi-Conference on Computing in the Global Information Technology, pp.195-199, Venice, Italy, June 2012.",,,,
"Khojasteh, M., Ward, R. K., and MacAulay, C.",Quantification of membrane IHC stains through multi-spectral imaging,"Int. Sym. Biomedical Imaging (ISBI), pp. 752-755, Spain, May 2012.",,,,
"Gu, J. and Ward, R. K.",Novel Feature Generation and Classification for a 2-state Self-paced Brain Computer Interface System,"Canadian Conference on Electrical and Computer Engineering (CCECE), pp. 1-4, Montreal, Apr 2012.",,,,
"Mai, Z., Nasiopoulos, P. and Ward, R. K.",Evaluation of preferred brightness and detail levels in 3D and 2D images based on HDR tone-Mapping,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing 2012 (ICASSP), pp. 1505-1508, Kyoto, Japan, Mar 2012.",,,,
"Majumdar, A. and Ward, R. K.",Synthesis and Analysis Prior Algorithms for Joint-Sparse Recovery,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), pp. 3421-3424, Kyoto, Japan, Mar 2012.",,,,
"Majumdar, A. and Ward, R. K.",Face Recognition from Video: An MMV Recovery Approach,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), pp. 2221-2224, Kyoto, Japan, Mar 2012.",,,,
"Guha, T. and Ward, R. K."",""A sparse reconstruction based algorithm for image and video classification","IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), pp. 3601-3604, Kyoto, Japan, Mar 2012.",,,,,
"Majumdar, A., Ward, R. K. and Aboulnasr, T.",k-t CaLM: Calibration-Less Multi-Coil Dynamic MRI Reconstruction,"International Symposium on Magnetic Resonance in Medicine, Mar 2012.",,,,
"Malekesmaeili, M., Ward, R. K., and Fatourechi, M.",Fast matching for video/audio fingerprinting algorithms,"WIFS '11 Proceedings of the 2011 IEEE International Workshop on Information Forensics and Security, pp. 1-6, 2011.",,,,
"Majumdar, A., and Ward, R. K.",Compressed Sensing Based MR Image Reconstruction from Multiple Partial K-Space Scans,"IEEE SiPS, pp. 340 – 343, Beirut, Lebanon, Oct 2011.",,,,
"Pourazad, M.T., Mai, Z., Nasiopoulos, P., Plataniotis, K., Ward, R.K.",Effect of brightness on the quality of visual 3D perception,"IEEE Inter. Conf. Image Processing (ICIP), pp. 989-992, Sep 2011.",,,,
"Yong, X., Fatourechi, M., Ward, R. K. and Birch, G.",Automatic artefact detection in a self-paced brain-computer interface system,"IEEE PACRIM 2011, pp. 403-408, Victoria, Canada, Aug 2011.",,,,
"Mai, Z., Doutre, C., Nasiopoulos, P., and Ward, R. K.",Subjective Evaluation Of Tone-mapping Methods on 3D Images,"(Special Session) Human 3D Perception and 3D Video Assessments, Int. Conf. on Digital Signal Processing (DSP), pp. 1-6, July 2011.",,,,
"Singh, T., Kharma, N. N., Daoud, M., Ward, R. K."",""Genetic programming based image segmentation with applications to biomedical object detection","ACM 11th Annual conference on Genetic and evolutionary computation( GECCO) ,pp. 1123-1130, 2009.",,,,,
"Nezhadarya, E., Wang J. Z., and Ward, R. K.",A New Data Hiding Method Using Angle Quantization Index Modulation In Gradient Domain,"IEEE Int. Conf. on Acoustics, Speech, and Signal Processing (ICASSP), Prague, Czech, pp. 2440-2443, May 2011.",,,,
"Vahedi, E., Ward, R. K. and Blake, I. F.",Security analysis and complexity comparison of some recent lightweight RFID protocols,"4th International Conference on Computational Intelligence in Security for Information Systems (CISIS 2011), LNCS 6694, pp. 92-99, Springer-Heidelberg, Spain 2011.",,,,
"Guha, T. and Ward, R. ",Action Recognition by Learning Class-specific Overcomplete Dictionaries,"IEEE Int. Conf. on Automatic Face and Gesture Recognition (FG),  pp.143 – 148, Santa Barbara, CA, March 2011.",,,,
"Majumdar A., and R. K. Ward",Under-determined Non-Cartesian MR Reconstruction,"MICCAI, pp. 513-520, Beijing, China, Sep 2010.",,,,
"Sun, N., Mansour, H., and Ward, R. K.",HDR Image Construction From Multi-Exposed Stereo LDR Images,"IEEE Inter Conf. on Image Processing 2010 (ICIP), Hong Kong, pp. 2973-2976, Sep 2010.",,,,
"Mai, Z., Mansour, H., Nasiopoulos, P., and Ward, R. K.",Visually-Favorable Tone-Mapping with High compression Performance,"IEEE Inter Conf. on Image Processing 2010 (ICIP), Hong Kong, pp. 1285-1288, Sep 2010.",,,,
"Nezhadarya, E., Wang Z., J., and Ward, R., K.",Watermark Survival Chance (WSC) Concept For Improving Watermark Robustness Against JPEG Compression” ,"IEEE Inter Conf. on Image Processing 2010 (ICIP), Hong Kong, pp. 3697 - 3700, Sep 2010.",,,,
"Majumdar, A., and Ward, R. K.",A Compressive Color Imaging With Group-Sparsity On Analysis Prrior,"Inter. Conf. on Image Processing (ICIP), pp. 1337-1340, Hong Kong, Sep 2010.",,,,
"Faradji, F., Ward, R. K., and Birch, G. E.",A Simple Approach to Find the Best Wavelet Basis in Classification Problems,"IEEE Inter. Conf. Pattern Recognition (ICPR), pp. 641-644, Turkey, August 2010.",,,,
"Yong X., Ward, R. K. and Birch, G. E",A self-paced brain computer interface (BCI) based point-and-click system,"BCI Meeting, Asilomar, Calif, June 2010.",,,,
"Mai, Z., Mansour, H., Mantiuk, R., Nasiopoulos, P., Ward, R. K., and Heidrich, W.",On-the-Fly Tone-Mapping for Backward-Compatible High Dynamic Range Image/Video Compression,"IEEE International Symposium on Circuits and Systems 2010 (ISCAS), Paris, France, pp. 1831-1834, May 2010.",,,,
"E. Vahedi, V. Shah-Mansouri, V. W.S. Wong and I. F. Blake",A probabilistic approach for detecting blocking attack  in RFID systems,"IEEE ICC’10, pp. 1-6 , Cape Town, South Africa, May 2010.",,,,
"Doutre, C., Pourazad, M.T., Nasiopoulos P., and Ward, R. K.",Correcting Unsynchronized Zoom in 3D Video,"IEEE International Symposium on Circuits and Systems (ISCAS), pp.  3244 – 3247, Paris, France, May 2010.",,,,
"Tang Q., Nasiopoulos, P. , and Ward, R. K.",Fast Block-Size Partitioning Using Empirical Rate-Distortion Models for MPEG-2 to H.264/AVC Transcoding,"IEEE Int. Sym. Circuits Systems (ISCAS), pp. 2860-2863, Paris, France, May 2010.",,,,
"Majumdar, A. and Ward, R. K.",A Matrix Completion Approach To Reduce Energy Consumption In Wireless Sensor Networks,"Data Compression Conference (DCC), pp. 542-545, Snowbird, Utah, March 2010.",,,,
"Nezhadarya, E., and Ward, R. K.",A Robust Morphological Gradient Estimator and Edge Detector for Color Images,"IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP), pp. 1062 – 1065, Dallas, TX, March 2010.",,,,
"Majumdar, A. and Ward, R. K.",Non-convex Group Sparsity: Application to Color Imaging,"IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP), pp. 469-472, Dallas, TX, March 2010.",,,,
"Guha, T., and Ward, R. K.",Differential Radon Transform for Gait Recognition,"IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP), pp. 834-837, Dallas, TX, March 2010.",,,,
"Mansour, H., Saab, R., Nasiopoulos, P., and Ward, R. K.",Color Image Desaturation Using Sparse Reconstruction,"IEEE Inter. Conf. Acoustics, Speech, and Signal Processing (ICASSP), pp. 778-781, Dallas, TX, March 2010.",,,,
"Pourazad, M.T., Nasiopoulos P., and Ward, R. K.",Conversion of H.264-encoded 2D video to 3D format,"IEEE Conference on Consumer Electronics (ICCE) , pp. 63 – 64, Las Vegas, US, January 2010.",,,,
"Malekesmaeili, M., and Ward, R. K.",Robust Video Hashing Based on Temporally Informative Representative Images,"28th  Inter. Conf. Consumer Electronics (ICCE), pp. 179–180, Las Vegas, USA, January 2010.",,,,
"Malekesmaeili, M., Fatourechi, M., and Ward, R. K.",Video Copy Detection Using Temporally Informative Representative Images,"IEEE Int. Conf. on Machine Learning and Applications (ICMLA), pp. 69–74, Miami, Florida, December 2009.",,,,
"Fatourechi, M.,  Lv, X., Wang, Z. J., and Ward, R. K.",Towards Automated Image Hashing based on the Fast Johnson-Lindenstrauss Transform (FJLT),"1st IEEE Int. Workshop Information Forensics and Security (WIFS), London, UK, pp.121-125, December 2009.",,,,
"Tang, Q., Nasiopoulos, P. and Ward, R. K.",Efficient Motion Vector Re-Estimation for MPEG-2 to H.264 Transcoding with Arbitrary Down-Sizing Ratios,"IEEE Inter. Conf. Image Processing (ICIP), pp. 3689-3692, Cairo, Egypt, November 2009.",,,,
"Pourazad, M.T., Nasiopoulos, P., and Ward, R. K.",An efficient low random-access delay panorama-based multiview video coding scheme,"IEEE Inter. Conf. Image Processing (ICIP), pp. 2945–2948, Cairo, Egypt, November 2009.",,,,
"Nezhadarya, E., and Ward,R. K.",Image Quality Monitoring Using Spread Spectrum Watermarking,"IEEE Inter. Conf. Image Processing (ICIP), pp. 2233 – 2236, Cairo, Egypt, November 2009.",,,,
